Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,84050,3305,59871,20874,1724,3.93,71.23,5.52,38928341,2159.0,74026,10024,13.54
Albania,132415,2452,129761,202,18,1.85,98.0,1.89,2877800,46013.0,132351,64,0.05
Algeria,132034,3544,91894,36596,387,2.68,69.6,3.86,43851043,3011.0,129640,2394,1.85
Andorra,13791,127,13569,95,10,0.92,98.39,0.94,77265,178490.0,13744,47,0.34
Angola,36115,811,29553,5751,111,2.25,81.83,2.74,32866268,1099.0,34960,1155,3.3
Antigua and Barbuda,1263,42,1214,7,0,3.33,96.12,3.46,97928,12897.0,1262,1,0.08
Argentina,4038528,83272,3608895,346361,29757,2.06,89.36,2.31,45195777,89356.0,3852156,186372,4.84
Armenia,223384,4474,214690,4220,99,2.0,96.11,2.08,2963234,75385.0,222870,514,0.23
Australia,30225,910,23639,5676,15,3.01,78.21,3.85,50919400,594.0,30137,88,0.29
Austria,647688,10650,632188,4850,366,1.64,97.61,1.68,9006400,71914.0,645552,2136,0.33
Azerbaijan,334917,4948,327626,2343,68,1.48,97.82,1.51,10139175,33032.0,334288,629,0.19
Bahamas,12027,232,11081,714,3,1.93,92.13,2.09,393248,30584.0,11864,163,1.37
Bahrain,254920,1171,236301,17448,1041,0.46,92.7,0.5,1701583,149813.0,244726,10194,4.17
Bangladesh,817819,12949,757569,47301,2537,1.58,92.63,1.71,164689383,4966.0,804293,13526,1.68
Barbados,4032,47,3963,22,0,1.17,98.29,1.19,287371,14031.0,4023,9,0.22
Belarus,401853,2939,394272,4642,834,0.73,98.11,0.75,9449321,42527.0,395990,5863,1.48
Belgium,1073358,25061,0,1048297,1183,2.33,0.0,8.206719576719578,23021022,46625.0,1065358,8000,0.75
Belize,12916,325,12456,135,7,2.52,96.44,2.61,397621,32483.0,12833,83,0.65
Benin,8109,102,7979,28,27,1.26,98.4,1.28,12123198,669.0,8082,27,0.33
Bhutan,1739,1,1424,314,15,0.06,81.89,0.07,771612,2254.0,1639,100,6.1
Bolivia,392975,15177,311340,66458,0,3.86,79.23,4.87,11673029,33665.0,378028,14947,3.95
Bosnia and Herzegovina,204512,9467,176881,18164,57,4.63,86.49,5.35,3280815,62336.0,204172,340,0.17
Botswana,58095,885,53887,3323,0,1.52,92.76,1.64,2351625,24704.0,54973,3122,5.68
Brazil,17122877,479515,15154101,1489261,85748,2.8,88.5,3.16,422706534,40508.0,16720081,402796,2.41
Brunei,246,3,231,12,0,1.22,93.9,1.3,437483,562.0,244,2,0.82
Bulgaria,419990,17872,387915,14203,131,4.26,92.36,4.61,6948445,60444.0,419010,980,0.23
Burkina Faso,13454,167,13268,19,0,1.24,98.62,1.26,20903278,644.0,13435,19,0.14
Burma,144715,3233,132655,8827,136,2.23,91.67,2.44,54409800,2660.0,143823,892,0.62
Burundi,4942,8,773,4161,17,0.16,15.64,1.03,11890781,416.0,4828,114,2.36
Cabo Verde,31339,270,30042,1027,114,0.86,95.86,0.9,555988,56366.0,30694,645,2.1
Cambodia,36240,289,29047,6904,729,0.8,80.15,0.99,16718971,2168.0,31460,4780,15.19
Cameroon,79904,1302,35261,43341,0,1.63,44.13,3.69,26545864,3010.0,78929,975,1.24
Canada,1404443,25816,1358565,20062,1460,1.84,96.73,1.9,75750184,18540.0,1393163,11280,0.81
Central African Republic,7101,98,6859,144,0,1.38,96.59,1.43,4829764,1470.0,7091,10,0.14
Chad,4942,174,4765,3,0,3.52,96.42,3.65,16425859,301.0,4935,7,0.14
Chile,1445768,30141,1369856,45771,5351,2.08,94.75,2.2,36692988,39402.0,1394973,50795,3.64
China,103261,4846,97923,492,26,4.69,94.83,4.95,2809352660,37.0,103069,192,0.19
Colombia,3633481,93394,3385586,154501,21879,2.57,93.18,2.76,99141018,36650.0,3459422,174059,5.03
Comoros,3890,146,3736,8,0,3.75,96.04,3.91,869595,4473.0,3882,8,0.21
Congo (Brazzaville),12026,157,11110,759,0,1.31,92.38,1.41,89561403,134.0,11845,181,1.53
Congo (Kinshasa),33956,821,27794,5341,379,2.42,81.85,2.95,5518087,6154.0,31934,2022,6.33
Costa Rica,336007,4278,258822,72907,2187,1.27,77.03,1.65,5094114,65960.0,323598,12409,3.83
Cote d'Ivoire,47547,306,47061,180,36,0.64,98.98,0.65,26378274,1803.0,47356,191,0.4
Croatia,358061,8103,348628,1330,275,2.26,97.37,2.32,4105268,87220.0,356829,1232,0.35
Cuba,152420,1045,145337,6038,1161,0.69,95.35,0.72,11326616,13457.0,144514,7906,5.47
Cyprus,72996,367,39061,33568,77,0.5,53.51,0.94,1207361,60459.0,72573,423,0.58
Czechia,1664382,30202,1627151,7029,384,1.81,97.76,1.86,10708981,155419.0,1662256,2126,0.13
Denmark,289024,2521,275079,11424,909,0.87,95.18,0.92,5897840,49005.0,283852,5172,1.82
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,31628.314136125653,712,0,0.0
Djibouti,11567,154,11395,18,1,1.33,98.51,1.35,988002,11707.0,11542,25,0.22
Dominica,188,0,188,0,0,0.0,100.0,0.0,71991,2611.0,188,0,0.0
Dominican Republic,304428,3686,248104,52638,1440,1.21,81.5,1.49,10847904,28063.0,295680,8748,2.96
Ecuador,433870,20903,398645,14322,885,4.82,91.88,5.24,17643060,24592.0,428865,5005,1.17
Egypt,270292,15471,198632,56189,765,5.72,73.49,7.79,102334403,2641.0,264557,5735,2.17
El Salvador,74983,2279,69867,2837,0,3.04,93.18,3.26,6486201,11560.0,73702,1281,1.74
Equatorial Guinea,8640,118,8303,219,0,1.37,96.1,1.42,1402985,6158.0,8572,68,0.79
Eritrea,4690,14,4206,470,93,0.3,89.68,0.33,3546427,1322.0,4145,545,13.15
Estonia,130310,1265,125191,3854,68,0.97,96.07,1.01,1326539,98233.0,129804,506,0.39
Eswatini,18694,676,17917,101,14,3.62,95.84,3.77,1160164,16113.0,18618,76,0.41
Ethiopia,273398,4226,248285,20887,223,1.55,90.81,1.7,114963583,2378.0,272036,1362,0.5
Fiji,880,4,249,627,35,0.45,28.3,1.61,896444,982.0,508,372,73.23
Finland,93520,959,46000,46561,126,1.03,49.19,2.08,5540718,16879.0,92770,750,0.81
France,5787125,110364,397460,5279301,5569,1.91,6.87,27.77,68151730,84915.0,5739995,47130,0.82
Gabon,24696,156,23483,1057,45,0.63,95.09,0.66,2225728,11096.0,24429,267,1.09
Gambia,6002,179,5800,23,0,2.98,96.63,3.09,2416664,2484.0,5993,9,0.15
Georgia,351249,4982,335895,10372,821,1.42,95.63,1.48,3989175,88051.0,346150,5099,1.47
Germany,3715870,89592,3563140,63138,3275,2.41,95.89,2.51,166803158,22277.0,3698004,17866,0.48
Ghana,94369,789,92488,1092,141,0.84,98.01,0.85,31072945,3037.0,94011,358,0.38
Greece,412420,12346,93764,306310,886,2.99,22.74,13.17,10423056,39568.0,405542,6878,1.7
Grenada,161,1,160,0,0,0.62,99.38,0.62,112519,1431.0,161,0,0.0
Guatemala,265662,8361,242033,15268,1826,3.15,91.11,3.45,17915567,14829.0,257167,8495,3.3
Guinea,23334,165,21410,1759,22,0.71,91.75,0.77,13132792,1777.0,23194,140,0.6
Guinea-Bissau,3794,68,3538,188,4,1.79,93.25,1.92,1967998,1928.0,3783,11,0.29
Guyana,17939,417,15837,1685,134,2.32,88.28,2.63,786559,22807.0,17257,682,3.95
Haiti,16001,342,12557,3102,106,2.14,78.48,2.72,11402533,1403.0,14711,1290,8.77
Holy See,27,0,27,0,0,0.0,100.0,0.0,809,33375.0,27,0,0.0
Honduras,243467,6559,86549,150359,671,2.69,35.55,7.58,9904608,24581.0,239428,4039,1.69
Hungary,806385,29889,720400,56096,179,3.71,89.34,4.15,9660350,83474.0,804987,1398,0.17
Iceland,6555,29,6476,50,0,0.44,98.79,0.45,341250,19209.0,6555,0,0.0
India,29182532,355705,27655493,1171334,93463,1.22,94.77,1.29,2751341248,10607.0,28441986,740546,2.6
Indonesia,1877050,52162,1723253,101635,7725,2.78,91.81,3.03,273523621,6862.0,1831773,45277,2.47
Iran,2990714,81519,2590682,318513,10598,2.73,86.62,3.15,83992953,35607.0,2935443,55271,1.88
Iraq,1237856,16614,1155887,65355,4616,1.34,93.38,1.44,40222503,30775.0,1210105,27751,2.29
Ireland,265341,4941,23364,237036,227,1.86,8.81,21.15,4937796,53737.0,262787,2554,0.97
Israel,839585,6418,832876,291,0,0.76,99.2,0.77,8655541,97000.0,839517,68,0.01
Italy,4237790,126767,3936088,174935,2198,2.99,92.88,3.22,120822834,35074.0,4223200,14590,0.35
Jamaica,48810,960,25936,21914,0,1.97,53.14,3.7,2961161,16483.0,48638,172,0.35
Japan,768313,13801,713651,40861,2245,1.8,92.89,1.93,252643406,3041.0,752865,15448,2.05
Jordan,739847,9530,723637,6680,0,1.29,97.81,1.32,10203140,72512.0,737888,1959,0.27
Kazakhstan,453975,3484,423995,26496,1215,0.77,93.4,0.82,18776707,24178.0,445762,8213,1.84
Kenya,173661,3345,118933,51383,589,1.93,68.49,2.81,53771300,3230.0,171226,2435,1.42
Kiribati,2,0,0,2,0,0.0,0.0,0.0,117606,17.0,2,0,0.0
"Korea, South",146303,1979,136713,7611,611,1.35,93.45,1.45,51269183,2854.0,142157,4146,2.92
Kosovo,107125,2252,104238,635,26,2.1,97.31,2.16,1793000,59746.0,107039,86,0.08
Kuwait,321648,1806,304916,14926,1391,0.56,94.8,0.59,4270563,75317.0,311846,9802,3.14
Kyrgyzstan,108173,1864,101364,4945,459,1.72,93.71,1.84,6524191,16580.0,105469,2704,2.56
Laos,1971,3,1795,173,1,0.15,91.07,0.17,7275556,271.0,1934,37,1.91
Latvia,135388,2428,129172,3788,244,1.79,95.41,1.88,1886202,71778.0,133866,1522,1.14
Lebanon,541940,7780,525065,9095,139,1.44,96.89,1.48,6825442,79400.0,540844,1096,0.2
Lesotho,10839,326,6438,4075,0,3.01,59.4,5.06,2142252,5060.0,10831,8,0.07
Liberia,2382,88,2057,237,92,3.69,86.36,4.28,5057677,471.0,2219,163,7.35
Libya,188157,3152,173877,11128,229,1.68,92.41,1.81,6871287,27383.0,186323,1834,0.98
Liechtenstein,3022,58,2945,19,0,1.92,97.45,1.97,38137,79241.0,3016,6,0.2
Lithuania,277002,4320,261391,11291,243,1.56,94.36,1.65,2722291,101753.0,275198,1804,0.66
Luxembourg,70343,818,68779,746,52,1.16,97.78,1.19,625976,112373.0,70027,316,0.45
